№ п/п,Регион,Полигон,ID Объекта,Отсутствие ванн для дезинфекции колес ,Выход полигона за границы кадастрового участка,Расположение объекта на расстоянии менее 15 км от действующего аэродрома,Не выполняется пересыпка тела полигона,"Отсутствие КПП, ворот или шлагбаума ",Отсутствие ограждения по периметру полигона ,Отсутствие весового контроля ,Наличие тлений и возгораний на теле полигона,Заболачивание и подтопление полигона ,Отсутствие обводных каналов ,Выход фильтрата за границы отведенного земельного участка,"Размещение фракций, не относящихся к ТКО",Разлет фракций на прилегающие территории ,Нарушение санитарно - защитной зоны,Координаты,Спутниковое изображение
28,Тверская область,ОР ТКО Андреаполь,303,да,да,нет,нет,нет,да,да,нет,нет,да,да,да,да,нет,"56.650696, 32.221344",0
29,Тверская область,ОР ТКО Белый,304,да,да,нет,да,нет,да,да,нет,да,нет,да,да,да,нет,"55.872253, 32.938877",1
30,Тверская область,ОР ТКО Весьегонск,305,да,да,нет,да,да,да,да,нет,да,нет,да,да,да,да,"58.636607, 37.255813",0
31,Тверская область,ОР ТКО Вышний Волочек,306,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,да,да,"57.564516, 34.586704",0
32,Тверская область,ОР ТКО Калязин,308,нет,да,нет,да,да,да,да,нет,нет,да,да,нет,да,да,"57.180564, 37.881782",0
33,Тверская область,ОР ТКО Кашин,309,да,да,нет,нет,нет,да,нет,нет,нет,да,да,нет,да,нет,"57.328386, 37.765632",0
34,Тверская область,ОР ТКО Лесное,310,нет,да,нет,да,нет,да,да,да,нет,да,нет,да,да,да,"58.297574, 35.565969",0
35,Тверская область,ОР ТКО Оленино,311,нет,да,нет,да,да,да,да,нет,да,да,да,да,да,да,"56.189797, 33.545701",0
36,Тверская область,ОР ТКО Осташково,312,да,да,нет,да,да,да,да,нет,нет,да,да,да,да,нет,"57.114829, 33.036228",0
37,Тверская область,ОР ТКО Рамешки,313,да,да,нет,да,да,да,да,нет,нет,да,нет,да,да,да,"57.313894, 36.056115",0
38,Тверская область,ОР ТКО Ржев,314,да,да,нет,да,нет,да,нет,нет,нет,да,да,нет,да,нет,"56.350517, 34.222136",0
39,Тверская область,ОР ТКО Сандово,315,да,да,нет,да,нет,да,да,да,нет,да,да,да,да,нет,"58.447626, 36.434423",0
40,Тверская область,ОР ТКО Селижарово,316,да,да,нет,нет,да,да,да,нет,нет,да,да,да,да,да,"56.848761, 33.49658",0
41,Тверская область,ОР ТКО Сонково,317,да,да,нет,нет,да,да,да,нет,нет,да,да,нет,да,нет,"57.808408, 37.109956",0
42,Тверская область,Полигон ТКО Торопец,318,нет,да,нет,да,нет,да,нет,нет,нет,нет,да,да,да,да,"56.465152, 31.634891",0
43,Тверская область,Полигон ТКО Славное,319,да,нет,да,нет,нет,нет,нет,нет,да,нет,да,да,нет,нет,"56.997428, 36.020957",0
44,Тверская область,Полигон ТКО Торжок,320,да,да,нет,да,да,да,нет,нет,нет,нет,да,нет,да,нет,"57.024874, 34.846943",0
45,Тверская область,Полигон ТКО Удомля,321,да,да,нет,да,да,да,нет,нет,нет,да,да,да,да,да,"57.868719, 35.062717",0
46,Вологодская область,Полигон для хранения твердых бытовых отходов,327,да,да,нет,нет,нет,нет,нет,нет,нет,да,да,нет,да,нет,"60.281274, 38.067436",0
47,Вологодская область,Полигон ТБО г. Грязовец,328,да,да,нет,да,да,да,нет,нет,нет,да,да,нет,нет,нет,"58.869131, 40.313378",0
48,Вологодская область,Полигон ТБО для пос.Кадуй Кадуйского района Вологодской области,329,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,"59.261572, 37.275196",0
49,Вологодская область,Полигон ТБО МО Мазское Кадуйского муниципального района Вологодской области,330,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,да,нет,нет,"59.298689, 36.802947",0
50,Вологодская область,Полигон ТБО г.Кириллов,331,нет,да,нет,да,нет,да,нет,нет,нет,да,да,нет,нет,нет,"59.861298, 38.419119",0
489,Вологодская область,Полигон ТБО с. Кичменгский Городок,332,да,да,да,да,да,да,да,нет,нет,да,да,да,да,нет,"60.011415, 45.76081",0
52,Вологодская область,Полигон ТБО с. Шуйское,333,да,да,нет,да,нет,да,да,нет,нет,да,да,да,нет,нет,"59.345103, 41.033411",0
53,Вологодская область,"Полигон для захоронения бытовых отходов и нетоксичных промышленных отходов, расположенный по адресу: Вологодская обл., Никольский район, примыкающий с севера к автомобильной дороге «Соколово-Никольское» в 5 км от г. Никольска",334,да,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,"59.562042, 45.394622",0
54,Вологодская область,Полигон ТКО с.Сямжа,335,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,да,"59.993675, 41.032615",0
55,Вологодская область,Полигон ТБО д. Лентьево,336,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,"58.972761, 36.643083",1
56,Вологодская область,"Полигон ТБО для муниципальных образований Никольское, Никифоровское",337,нет,нет,нет,да,да,да,да,нет,нет,нет,нет,нет,нет,нет,"58.654275, 36.43104",0
57,Вологодская область,Полигон ТБО г Харовск,338,да,да,нет,нет,да,да,нет,нет,да,нет,да,нет,да,нет,"59.937644, 40.110269",0
58,Вологодская область,Полигон ТБО п. Сазоново,339,да,нет,нет,нет,да,да,да,нет,нет,нет,нет,да,нет,нет,"59.128088, 35.193498",0
59,Вологодская область,Полигон ТБО г.Череповца,340,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,"59.164399, 37.775689",0
60,Вологодская область,Полигон ТБО Малый Исток,341,нет,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,да,"59.117983, 37.553982",0
61,Вологодская область,Полигон ТБО Новое Домозерово,342,да,да,нет,нет,нет,да,нет,нет,нет,нет,да,нет,да,да,"59.037047, 38.16612",0
62,Вологодская область,Полигон ТБО Ильинское,343,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,да,"59.226944, 38.589298",0
63,Вологодская область,Полигон ТБО г. Бабаево,344,нет,да,нет,нет,нет,нет,нет,нет,нет,да,да,да,да,нет,"59.456154, 35.992817",0
64,Вологодская область,Полигон ТБО с.Борисово-Судское,345,нет,да,нет,да,нет,да,нет,нет,нет,нет,нет,да,да,нет,"59.8838, 35.993593",0
65,Вологодская область,Полигон твердых бытовых отходов п. Вожега.,346,нет,да,нет,да,нет,нет,да,нет,да,нет,да,нет,нет,нет,"60.455555, 40.115324",0
66,Вологодская область,Полигон для захоронения промышленных твердых бытовых отходов Нюксенского ЛПУМГ,347,да,нет,нет,нет,нет,нет,да,нет,да,нет,да,нет,да,нет,"60.451215, 44.215807",0
67,Вологодская область,Полигон ТБО с. Тарногский Городок,348,нет,да,нет,нет,нет,да,нет,нет,нет,да,да,да,да,нет,"60.464076, 43.569682",0
68,Вологодская область,Полигон ТБО п. Васильевское,349,нет,да,нет,да,нет,да,да,нет,да,нет,да,да,нет,нет,"59.074706, 40.149842",0
69,Вологодская область,Полигон ТБО для Кубенского с/с,350,да,да,нет,нет,нет,нет,да,нет,да,да,да,нет,нет,нет,"59.416706, 39.626263",0
70,Вологодская область,Полигон ТБО для МО Новленское Вологодского района Вологодской области,351,да,да,нет,да,да,нет,да,нет,нет,нет,нет,нет,нет,нет,"59.599796, 39.31096",0
71,Вологодская область,Полигон ТБО для г. Вологда-1 этап,352,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,"59.023129, 39.8324",0
72,Вологодская область,Полигон ТБО г. Сокол,353,да,да,нет,нет,нет,да,нет,нет,да,да,да,да,да,нет,"59.44126, 40.089142",0
73,Вологодская область,Полигон ТБО с. Устье,354,да,да,нет,нет,нет,да,да,нет,нет,да,да,да,да,нет,"59.665156, 39.768513",0
74,Вологодская область,Полигон твердых коммунальных отходов с. Верховажье,355,нет,да,нет,да,нет,да,да,нет,нет,нет,да,да,да,нет,"60.726215, 42.085606",0
75,Вологодская область,Полигон захоронения ТКО,356,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,"61.050589, 36.490636",0
